[0.60297177 0.24477301]
[0.60636751 0.2145418 ]
[0.49278579 0.32302922]
[0.49441697 0.23054781]
         sil       ami  cluster
0   0.457262  0.000479      2.0
1   0.433242  0.009127      3.0
2   0.465992  0.012478      4.0
3   0.465563  0.012130      5.0
4   0.461668  0.010112      6.0
5   0.447781  0.014227      7.0
6   0.438616  0.018660      8.0
7   0.455085  0.018804      9.0
8   0.425823  0.016080     10.0
9   0.431412  0.020155     11.0
10  0.408641  0.020933     12.0
11  0.396623  0.015626     13.0
12  0.403406  0.017976     14.0
13  0.406916  0.015956     15.0
14  0.390957  0.019032     16.0
15  0.399375  0.017966     17.0
16  0.395374  0.016126     18.0
17  0.409232  0.020542     19.0
18  0.393484  0.020087     20.0
19  0.401291  0.021004     21.0
20  0.395154  0.017600     22.0
21  0.384650  0.019412     23.0
22  0.396760  0.021721     24.0
         sil       ami  cluster
0   0.434234  0.008296      2.0
1   0.467456  0.011098      3.0
2   0.446399  0.009862      4.0
3   0.445926  0.024627      5.0
4   0.440927  0.024989      6.0
5   0.434931  0.024010      7.0
6   0.437027  0.022813      8.0
7   0.454086  0.026774      9.0
8   0.459553  0.025945     10.0
9   0.469756  0.024494     11.0
10  0.483201  0.022402     12.0
11  0.482188  0.021174     13.0
12  0.482556  0.021460     14.0
13  0.495315  0.020366     15.0
14  0.494202  0.024621     16.0
15  0.489409  0.022259     17.0
16  0.493554  0.021369     18.0
17  0.496299  0.024490     19.0
18  0.500751  0.022562     20.0
19  0.496432  0.021632     21.0
20  0.496042  0.019812     22.0
21  0.502963  0.021531     23.0
22  0.497781  0.021032     24.0
         sil       ami  cluster
0   0.441314  0.025736      2.0
1   0.457203  0.029014      3.0
2   0.437202  0.021662      4.0
3   0.434281  0.021929      5.0
4   0.445360  0.022752      6.0
5   0.453098  0.030973      7.0
6   0.440576  0.031447      8.0
7   0.451846  0.031852      9.0
8   0.428855  0.028620     10.0
9   0.431081  0.030536     11.0
10  0.434485  0.030130     12.0
11  0.436741  0.028914     13.0
12  0.434555  0.026522     14.0
13  0.431757  0.025310     15.0
14  0.423259  0.026948     16.0
15  0.420572  0.025938     17.0
16  0.415334  0.026513     18.0
17  0.414168  0.029104     19.0
18  0.413207  0.027510     20.0
19  0.412303  0.027769     21.0
20  0.412620  0.028830     22.0
21  0.396808  0.026797     23.0
22  0.421750  0.030481     24.0
         sil       ami  cluster
0   0.401278  0.008823      2.0
1   0.434019  0.011372      3.0
2   0.438229  0.009743      4.0
3   0.447151  0.011785      5.0
4   0.470165  0.029915      6.0
5   0.480672  0.028992      7.0
6   0.484580  0.030784      8.0
7   0.493124  0.029262      9.0
8   0.485784  0.032752     10.0
9   0.484782  0.030919     11.0
10  0.494089  0.030481     12.0
11  0.516776  0.030195     13.0
12  0.518283  0.029725     14.0
13  0.497796  0.028970     15.0
14  0.494680  0.030227     16.0
15  0.497059  0.028242     17.0
16  0.486204  0.029991     18.0
17  0.502170  0.026747     19.0
18  0.499571  0.028038     20.0
19  0.501275  0.026446     21.0
20  0.507797  0.027944     22.0
21  0.504234  0.026624     23.0
22  0.502666  0.026732     24.0

Process finished with exit code 0
