[0.42885127 0.28404973]
[0.40047879 0.31876331]
[0.50164174 0.32912878]
[0.43781016 0.36019329]
         sil       ami  cluster
0   0.387186  0.020653      2.0
1   0.469951  0.023922      3.0
2   0.449425  0.026757      4.0
3   0.444834  0.028331      5.0
4   0.445841  0.028862      6.0
5   0.444389  0.028302      7.0
6   0.451172  0.026919      8.0
7   0.431651  0.025842      9.0
8   0.429657  0.029739     10.0
9   0.428741  0.028961     11.0
10  0.425120  0.027331     12.0
11  0.426808  0.026273     13.0
12  0.426911  0.025593     14.0
13  0.431069  0.025035     15.0
14  0.425378  0.024146     16.0
15  0.429722  0.024814     17.0
16  0.426796  0.024149     18.0
17  0.421594  0.023194     19.0
18  0.424659  0.022723     20.0
19  0.411623  0.022208     21.0
20  0.423060  0.022550     22.0
21  0.426058  0.022867     23.0
22  0.425861  0.022650     24.0
         sil       ami  cluster
0   0.342934  0.029565      2.0
1   0.370976  0.019704      3.0
2   0.367318  0.022259      4.0
3   0.346565  0.021507      5.0
4   0.376843  0.025587      6.0
5   0.367939  0.026124      7.0
6   0.366010  0.020134      8.0
7   0.362155  0.023699      9.0
8   0.378190  0.025642     10.0
9   0.384771  0.026087     11.0
10  0.377340  0.024617     12.0
11  0.375408  0.022168     13.0
12  0.371342  0.020980     14.0
13  0.377775  0.020099     15.0
14  0.382886  0.020978     16.0
15  0.383661  0.021689     17.0
16  0.380363  0.019675     18.0
17  0.377053  0.024007     19.0
18  0.374347  0.022153     20.0
19  0.375332  0.023293     21.0
20  0.367761  0.023405     22.0
21  0.371975  0.020992     23.0
22  0.371806  0.022167     24.0
         sil       ami  cluster
0   0.411012  0.005684      2.0
1   0.442463  0.009529      3.0
2   0.427210  0.014594      4.0
3   0.400556  0.014746      5.0
4   0.414261  0.020282      6.0
5   0.426288  0.020411      7.0
6   0.425945  0.020111      8.0
7   0.427649  0.022154      9.0
8   0.421557  0.022900     10.0
9   0.413832  0.023302     11.0
10  0.416440  0.023984     12.0
11  0.408224  0.023767     13.0
12  0.404231  0.023745     14.0
13  0.410028  0.023977     15.0
14  0.408533  0.024442     16.0
15  0.415170  0.023726     17.0
16  0.415482  0.023807     18.0
17  0.410317  0.023362     19.0
18  0.414119  0.023405     20.0
19  0.410297  0.023313     21.0
20  0.406267  0.023154     22.0
21  0.403389  0.023118     23.0
22  0.403669  0.023235     24.0
         sil       ami  cluster
0   0.346019  0.034660      2.0
1   0.387310  0.015980      3.0
2   0.372231  0.023884      4.0
3   0.355203  0.021332      5.0
4   0.381504  0.018206      6.0
5   0.381052  0.017081      7.0
6   0.363131  0.019258      8.0
7   0.355210  0.020305      9.0
8   0.369886  0.029990     10.0
9   0.374498  0.025031     11.0
10  0.375388  0.025708     12.0
11  0.374464  0.026609     13.0
12  0.372805  0.024322     14.0
13  0.370125  0.021458     15.0
14  0.371564  0.026088     16.0
15  0.371310  0.021003     17.0
16  0.371213  0.023618     18.0
17  0.374795  0.026278     19.0
18  0.369287  0.024376     20.0
19  0.381648  0.024320     21.0
20  0.379860  0.025193     22.0
21  0.378367  0.020160     23.0
22  0.387189  0.024851     24.0

